"Country","Code","Year","GDP","Growth","CPI","Imports","Exports","Population"
"Switzerland","CHE",1960,9522746719.21614,NA,24.0411886758258,26.7453309234874,27.7704941413694,5327827
"Switzerland","CHE",1961,10712712465.0522,NA,24.4848423399599,28.643286511819,27.1870018929707,5434294
"Switzerland","CHE",1962,11879982758.5619,NA,25.541607857508,28.8528093559653,26.8626640895134,5573815
"Switzerland","CHE",1963,13063643795.7884,NA,26.4202933206645,28.2833261836163,26.618426810356,5694247
"Switzerland","CHE",1964,14480556571.5476,NA,27.2341847032144,28.2987862084383,26.5727500663663,5789228
"Switzerland","CHE",1965,15346741669.7575,NA,28.1640907448864,27.0166825679634,27.5110458675101,5856472
"Switzerland","CHE",1966,16480058704.8531,NA,29.5092033368992,26.7657795222263,28.1385750224191,5918002
"Switzerland","CHE",1967,17740013179.26,NA,30.6911037946858,26.1304839092901,27.8886480635708,5991785
"Switzerland","CHE",1968,18942729779.1,NA,31.4264096899877,26.7144205924799,29.5268414458439,6067714
"Switzerland","CHE",1969,20524886616.4789,NA,32.2086211658658,28.7280551636971,31.3201557527991,6136387
"Switzerland","CHE",1970,NA,NA,33.3732811457356,NA,NA,6180877
"Switzerland","CHE",1971,NA,NA,35.5669823545286,NA,NA,6213399
"Switzerland","CHE",1972,NA,NA,37.9357438509247,NA,NA,6260956
"Switzerland","CHE",1973,NA,NA,41.2568953984169,NA,NA,6307347
"Switzerland","CHE",1974,NA,NA,45.2866270107488,NA,NA,6341405
"Switzerland","CHE",1975,NA,NA,48.3192891953574,NA,NA,6338632
"Switzerland","CHE",1976,NA,NA,49.1481956649516,NA,NA,6302504
"Switzerland","CHE",1977,NA,NA,49.7851550573817,NA,NA,6281174
"Switzerland","CHE",1978,NA,NA,50.2973405156191,NA,NA,6281738
"Switzerland","CHE",1979,NA,NA,52.1320073895661,NA,NA,6294365
"Switzerland","CHE",1980,119008334606.433,NA,54.2290167065305,49.2903504827936,47.2005478357158,6319408
