,XOM,CVX,AAPL,MSFT,CSCO,INTC,SLB,COP,JPM,WFC,USB,AXP,WMT,TGT,HD,COST
1993-01-29,-0.0169908875255622,0.0729208591065297,-0.0242350826042017,-0.0220998157462486,0.0031062943729291,-0.0504877949309561,-0.0400725399568031,0.1387029166950384,-0.0213106798836468,-0.0086692054267998,0.0328940032023035,0.1379086072769952,0.0464617696737033,-0.0822812757982953,0.1061822730654702,0.0
1993-02-01,0.0169908861788616,0.1020892081218285,0.064618076354449,0.0276211491051445,0.0186022907109764,0.0953673282675859,0.1602901571125272,0.0700703603855261,0.0213157944407829,0.0785554402238255,0.0493362649641841,-0.0689507129935629,0.1393853055028469,0.0598402990710553,0.0758434940752064,-0.1496638581081084
1993-02-02,0.0849544377510049,0.0291683445945949,-0.0161479008567733,0.0358998655319999,0.0201466219000863,0.0,0.0400725381355933,-0.093423906782605,-0.0213157954163643,-0.026181611854497,-0.0328940009647937,-0.0459696550336738,0.0696926547169809,0.0972396360671563,-0.0303387801483374,0.0498879527027025
1993-02-03,0.0679635520000001,0.0583366901172528,-0.0323046279153336,-0.0248570311622835,-0.0123986209395989,-0.0504949739023548,0.0,0.0233587794128551,0.0852580654875678,0.0436430892773396,0.0493410014231696,0.0459696585006241,0.0929235364485983,0.0972464577360918,0.0,0.0997759066666672
1993-02-04,0.0343778064516122,0.0442716160267107,-0.0161567217361344,-0.0607567172836236,-0.01394284757277,0.0,0.060108809623431,0.0934242796271558,-0.0426264746643374,0.0523738402246416,0.0328891318154465,-0.0229810596930803,-0.1161544183864915,0.0374061579311524,-0.0606706457387122,-0.0498879533333331
1993-02-05,-0.017188903030302,0.0295144100000008,-0.0646180816893691,0.0938924726370336,-0.0154959972465376,-0.0476872552430518,0.4007253600000009,0.1401366059185536,0.1065738518703565,-0.0087254353707093,0.0328891318148465,0.0459696579037016,-0.0696926527514225,-0.0822812765097795,-0.1061753507107603,-0.099775905405405
1993-02-08,0.1547001232604383,0.0885432335526328,-0.0161478987999803,-0.0607498488819997,-0.0093012517978101,-0.0196320666304816,0.0200362697768774,-0.0467121368838654,0.0,0.0,0.0164470004743897,0.0459696612907496,-0.0232308838095249,0.007482596840961,-0.1820188538011695,0.0
1993-02-09,0.0,-0.0295144092409245,-0.0040347715640085,-0.0635210062439437,-0.0402932481833082,-0.0112234753874753,-0.2604714884696015,0.0,-0.0213157936226551,-0.0174614836606701,-0.0328940009607396,-0.0459692907389435,0.0,-0.1122048241752438,0.060670643447545,-0.3242717224199287
1993-02-10,0.0343778076152307,0.0885432315270939,-0.0403829790486132,0.0220998119601176,0.0216908331989733,0.0448795561635719,-0.1602901525423732,-0.1401365863702848,0.0,-0.0349123497267758,-0.0164422651299327,-0.0229810596930803,-0.1161544197292059,0.0897638733031671,0.0606706456949082,0.0
1993-02-11,0.0,0.0737860260586327,-0.0201914950741224,-0.022092746968314,-0.0123985160746555,-0.0532953063247019,-0.2404352347826091,0.093423896067355,0.0213157942296957,0.0261816142284536,0.0328892644898437,0.0,-0.0929235381604698,0.0149583704151829,0.0455047093023255,-0.0249439787985865
